port_cluster,centroid_lat,centroid_lon,n_stay_points,avg_duration_hours,matched_port_name,distance_to_port_km,is_validated_port
165.0,48.40120642874405,-89.19997445362148,963.0,39.77743163724472,THUNDER BAY,2.4663240442964023,True
31.0,27.897226532820177,-82.424399870934,948.0,52.47556258790436,TAMPA,3.316769032525065,True
204.0,48.51263476724023,-122.61758817520254,917.0,25.773536895674297,ANACORTES,0.45346895166087303,True
125.0,34.13935569371397,-119.20504102988076,867.0,37.59900038446751,PORT HUENEME,1.2712621777555575,True
191.0,41.49117902112928,-81.70394640153589,865.0,12.502504816955684,CLEVELAND,1.443774827173151,True
40.0,28.86741206657005,-89.3748650992251,855.0,26.4317738791423,,62.51743967417813,False
22.0,38.93202779584546,-76.40797140737531,813.0,61.28167281672817,ANNAPOLIS,8.660660227144984,True
182.0,41.67008213471831,-87.42808290571496,807.0,16.967988434531186,INDIANA HARBOR,0.5782567797166491,True
103.0,31.13279907585159,-81.52843172222777,784.0,22.766156462585037,BRUNSWICK,3.3136109306208357,True
39.0,39.767592748773005,-75.45442685691347,770.0,27.96796536796537,MARCUS HOOK,6.33915508452241,True
81.0,41.50145455517585,-71.36155437346152,764.0,21.962260034904016,NEWPORT,2.355810427049509,True
18.0,23.07851711172429,-82.7575917059939,752.0,10.277482269503546,,10.61246365708588,False
8.0,22.47883465591304,-97.83254102028896,743.0,12.260206370569763,ALTAMIRA,1.8622509294989522,True
42.0,49.01580571674588,-123.15528939002512,723.0,43.05578607653296,,13.227123511451309,False
12.0,19.18427239699596,-96.09830492841768,723.0,10.162978331028125,VERACRUZ,4.0730255394573,True
79.0,28.94503938465756,-95.32524658360558,719.0,33.105238757533606,FREEPORT,0.9609151255726341,True
34.0,30.094384369658712,-88.05513447982715,714.0,36.79365079365079,,56.775520006064234,False
62.0,34.19402515986464,-77.95602142109377,699.0,29.08559847401049,WILMINGTON,4.4057622358307755,True
47.0,46.21076081949479,-123.79250972602904,692.0,64.46531791907515,ASTORIA,3.3617207044907143,True
261.0,29.782543626580665,-92.16610428112628,686.0,12.949708454810496,,92.12408874454226,False
27.0,32.57080883880786,-79.48783523725804,666.0,24.89589589589589,,46.57694905447089,False
60.0,29.25988620415354,-89.35444888710836,659.0,16.814365199797674,,40.410224766900676,False
278.0,28.849628112773644,-90.81430436365136,646.0,11.314499484004129,,45.81508706718504,False
73.0,21.308484539775925,-157.87662828143368,615.0,44.926558265582656,HONOLULU,1.398213332271559,True
173.0,46.5012791270676,-84.39292806000992,609.0,11.14176245210728,SAULT STE MARIE,3.288818005998439,True
71.0,23.12700676726773,-82.34334489886287,554.0,14.61702767749699,BAHAI DE LA HABANA,2.4864189944079023,True
58.0,18.03682385168584,-63.07039787614351,543.0,7.602516881522407,COLES BAY OIL TERMINAL,2.6256905334964245,True
75.0,40.492872644487385,-73.64313668764547,541.0,31.63555144793592,,36.437040228342305,False
124.0,32.67333796450814,-117.14479953759208,527.0,43.921568627450974,SAN DIEGO,6.017884878702639,True
78.0,25.959696873011865,-97.3767016253097,522.0,32.136334610472545,BROWNSVILLE,2.5668169590052883,True
